IQ-TREE multicore version 2.0.6 for Linux 64-bit built May 30 2020
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    node004 (AVX2, FMA3, 125 GB RAM)
Command: iqtree2 -s R9AP.doublefiltered.fasta.annot.clean.mafft.trimal -m MFP -mset Blosum62,cpREV,Dayhoff,DCMut,FLU,HIVb,HIVw,JTT,JTTDCMut,LG,mtART,mtMAM,mtREV,mtZOA,mtMet,mtVer,mtInv,Poisson,PMB,rtREV,VT,WAG,GTR20 -mrate E,I,G,I+G,R -B 1000 --wbtl --bnni --alrt 1000 --abayes -T AUTO --prefix R9AP.doublefiltered.fasta.annot.clean.mafft.trimal.UFB
Seed:    261925 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Fri Apr  9 18:00:21 2021
Kernel:  AVX+FMA - auto-detect threads (12 CPU cores detected)

Reading alignment file R9AP.doublefiltered.fasta.annot.clean.mafft.trimal ... Fasta format detected
Alignment most likely contains protein sequences
Alignment has 19 sequences with 290 columns, 290 distinct patterns
252 parsimony-informative, 31 singleton sites, 7 constant sites
                                                                                                                                    Gap/Ambiguity  Composition  p-value
   1  MetazoaAnnelidaEP00103Capitellateleta_84286__R9BP_HUMAN_Regulator_of_G-protein_signaling_9-binding_protein_OS_                        4.83%    passed     18.54%
   2  MetazoaBrachiopodaLingulaunguis_1293888__R9BP_CHICK_Regulator_of_G-protein_signaling_9-binding_protein_OS_                            7.93%    passed     95.07%
   3  MetazoaEchinodermataAcanthasterplanci_3785627__R9BP_CHICK_Regulator_of_G-protein_signaling_9-binding_protein_OS_                     10.69%    passed     66.97%
   4  MetazoaEchinodermataAcanthasterplanci_3789889__R7BP_BOVIN_Regulator_of_G-protein_signaling_7-binding_protein_OS_                     20.34%    passed     12.77%
   5  MetazoaEchinodermataEP00057Strongylocentrotuspurpuratus_3813798__R9BP_CHICK_Regulator_of_G-protein_signaling_9-binding_protein_OS_   24.83%    passed     43.47%
   6  MetazoaEchinodermataEP00057Strongylocentrotuspurpuratus_3830585__R9BP_HUMAN_Regulator_of_G-protein_signaling_9-binding_protein_OS_   11.38%    passed     33.37%
   7  MetazoaHemichordataSaccoglossuskowalevskii_4062999__R7BP_RAT_Regulator_of_G-protein_signaling_7-binding_protein_OS_                  15.86%    failed      1.23%
   8  MetazoaHemichordataSaccoglossuskowalevskii_4078919__R9BP_CHICK_Regulator_of_G-protein_signaling_9-binding_protein_OS_                30.69%    passed      6.95%
   9  MetazoaMolluscaLottiagigantea_4221559__R9BP_HUMAN_Regulator_of_G-protein_signaling_9-binding_protein_OS_                             23.79%    failed      0.47%
  10  MetazoaVertebrateDaniorerio_5421883__R9BPB_XENLA_Regulator_of_G-protein_signaling_9-binding_protein_B_OS_                            12.76%    passed      9.15%
  11  MetazoaVertebrateDaniorerio_5422302__R9BP_CHICK_Regulator_of_G-protein_signaling_9-binding_protein_OS_                               20.00%    passed     12.78%
  12  MetazoaVertebrateDaniorerio_5430385__R7BPA_DANRE_Regulator_of_G-protein_signaling_7-binding_protein_A_OS_                            22.07%    passed     89.75%
  13  MetazoaVertebrateDaniorerio_5431775__R9BP_DANRE_Regulator_of_G-protein_signaling_9-binding_protein_OS_                               21.38%    failed      1.19%
  14  MetazoaVertebrateEptatretusburgeri_6382680__R9BP_CHICK_Regulator_of_G-protein_signaling_9-binding_protein_OS_                        15.52%    failed      0.49%
  15  MetazoaVertebrateEptatretusburgeri_6390864__R9BP_CHICK_Regulator_of_G-protein_signaling_9-binding_protein_OS_                        20.34%    passed      8.97%
  16  MetazoaVertebrateHomosapiens_6460820__R7BP_HUMAN_Regulator_of_G-protein_signaling_7-binding_protein_OS_                              19.31%    passed     33.67%
  17  MetazoaVertebrateHomosapiens_6461538__R9BP_HUMAN_Regulator_of_G-protein_signaling_9-binding_protein_OS_                              18.97%    failed      0.01%
  18  MetazoaVertebrateMusmusculus_6535218__R9BP_MOUSE_Regulator_of_G-protein_signaling_9-binding_protein_OS_                              18.28%    failed      0.00%
  19  MetazoaVertebrateMusmusculus_6540712__R7BP_MOUSE_Regulator_of_G-protein_signaling_7-binding_protein_OS_                              19.31%    passed     63.73%
****  TOTAL                                                                                                                                17.80%  6 sequences failed composition chi2 test (p-value<5%; df=19)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.007 seconds
Measuring multi-threading efficiency up to 12 CPU cores
Increase to 10 rounds for branch lengths
158 trees examined
Threads: 1 / Time: 12.031 sec / Speedup: 1.000 / Efficiency: 100% / LogL: -9996
Threads: 2 / Time: 6.876 sec / Speedup: 1.750 / Efficiency: 87% / LogL: -9996
Threads: 3 / Time: 5.271 sec / Speedup: 2.283 / Efficiency: 76% / LogL: -9996
Threads: 4 / Time: 4.574 sec / Speedup: 2.630 / Efficiency: 66% / LogL: -9996
Threads: 5 / Time: 4.332 sec / Speedup: 2.777 / Efficiency: 56% / LogL: -9996
Threads: 6 / Time: 4.050 sec / Speedup: 2.971 / Efficiency: 50% / LogL: -9996
BEST NUMBER OF THREADS: 5

Perform fast likelihood tree search using LG+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -8472.522
Optimal log-likelihood: -8472.445
Proportion of invariable sites: 0.015
Gamma shape alpha: 2.472
Parameters optimization took 1 rounds (0.009 sec)
Time for fast ML tree search: 0.066 seconds

NOTE: ModelFinder requires 10 MB RAM!
ModelFinder will test up to 598 protein models (sample size: 290) ...
 No. Model         -LnL         df  AIC          AICc         BIC
482  PMB+F         8570.066     54  17248.131    17273.408    17446.305
483  PMB+F+I       8544.670     55  17199.341    17225.665    17401.184
484  PMB+F+G4      8494.994     55  17099.988    17126.313    17301.832
485  PMB+F+I+G4    8487.958     56  17087.915    17115.314    17293.429
486  PMB+F+R2      8492.595     56  17097.191    17124.590    17302.704
487  PMB+F+R3      8490.367     58  17096.735    17126.362    17309.588
495  rtREV         8689.194     35  17448.388    17458.309    17576.834
496  rtREV+I       8659.640     36  17391.280    17401.809    17523.396
497  rtREV+G4      8581.402     36  17234.804    17245.334    17366.920
498  rtREV+I+G4    8574.588     37  17223.175    17234.334    17358.961
499  rtREV+R2      8582.793     37  17239.586    17250.745    17375.372
500  rtREV+R3      8574.496     39  17226.992    17239.472    17370.117
501  rtREV+R4      8574.374     41  17230.748    17244.635    17381.213
508  rtREV+F       8571.384     54  17250.768    17276.045    17448.942
509  rtREV+F+I     8541.961     55  17193.922    17220.247    17395.766
510  rtREV+F+G4    8464.309     55  17038.618    17064.943    17240.462
511  rtREV+F+I+G4  8457.410     56  17026.820    17054.219    17232.333
512  rtREV+F+R2    8465.391     56  17042.782    17070.181    17248.295
513  rtREV+F+R3    8457.444     58  17030.887    17060.515    17243.740
514  rtREV+F+R4    8457.429     60  17034.858    17066.823    17255.051
521  VT            8555.900     35  17181.801    17191.722    17310.246
522  VT+I          8531.122     36  17134.245    17144.774    17266.360
523  VT+G4         8484.818     36  17041.637    17052.166    17173.752
524  VT+I+G4       8478.041     37  17030.082    17041.241    17165.868
525  VT+R2         8481.931     37  17037.861    17049.020    17173.647
526  VT+R3         8479.176     39  17036.353    17048.833    17179.478
534  VT+F          8509.417     54  17126.834    17152.111    17325.008
535  VT+F+I        8484.747     55  17079.495    17105.820    17281.338
536  VT+F+G4       8438.723     55  16987.446    17013.771    17189.289
537  VT+F+I+G4     8431.873     56  16975.747    17003.146    17181.260
538  VT+F+R2       8435.790     56  16983.579    17010.978    17189.093
539  VT+F+R3       8433.212     58  16982.424    17012.052    17195.277
547  WAG           8583.054     35  17236.107    17246.028    17364.553
548  WAG+I         8557.765     36  17187.531    17198.060    17319.647
549  WAG+G4        8498.311     36  17068.622    17079.151    17200.737
550  WAG+I+G4      8491.972     37  17057.943    17069.102    17193.729
551  WAG+R2        8498.293     37  17070.587    17081.745    17206.372
552  WAG+R3        8494.020     39  17066.040    17078.520    17209.166
560  WAG+F         8528.768     54  17165.535    17190.812    17363.709
561  WAG+F+I       8502.708     55  17115.416    17141.741    17317.260
562  WAG+F+G4      8442.555     55  16995.109    17021.434    17196.953
563  WAG+F+I+G4    8435.852     56  16983.704    17011.103    17189.217
564  WAG+F+R2      8442.678     56  16997.355    17024.755    17202.869
565  WAG+F+R3      8438.656     58  16993.312    17022.939    17206.165
WARNING: GTR20 model will estimate 189 substitution rates that might be overfitting!
WARNING: Please only use GTR20 with very large data and always test for model fit!
573  GTR20+F       8375.099     243 17236.199    19814.112    18127.980
WARNING: GTR20 model will estimate 189 substitution rates that might be overfitting!
WARNING: Please only use GTR20 with very large data and always test for model fit!
574  GTR20+F+I     8351.735     244 17191.470    19848.359    18086.921
WARNING: GTR20 model will estimate 189 substitution rates that might be overfitting!
WARNING: Please only use GTR20 with very large data and always test for model fit!
575  GTR20+F+G4    8300.238     244 17088.475    19745.364    17983.926
WARNING: GTR20 model will estimate 189 substitution rates that might be overfitting!
WARNING: Please only use GTR20 with very large data and always test for model fit!
576  GTR20+F+I+G4  8292.515     245 17075.030    19814.576    17974.151
WARNING: GTR20 model will estimate 189 substitution rates that might be overfitting!
WARNING: Please only use GTR20 with very large data and always test for model fit!
577  GTR20+F+R2    8292.917     245 17075.834    19815.380    17974.955
WARNING: GTR20 model will estimate 189 substitution rates that might be overfitting!
WARNING: Please only use GTR20 with very large data and always test for model fit!
578  GTR20+F+R3    8288.546     247 17071.092    19988.044    17977.552
WARNING: GTR20 model will estimate 189 substitution rates that might be overfitting!
WARNING: Please only use GTR20 with very large data and always test for model fit!
586  GTR20+F       8375.099     243 17236.199    19814.112    18127.980
WARNING: GTR20 model will estimate 189 substitution rates that might be overfitting!
WARNING: Please only use GTR20 with very large data and always test for model fit!
587  GTR20+F+I     8351.735     244 17191.470    19848.359    18086.921
WARNING: GTR20 model will estimate 189 substitution rates that might be overfitting!
WARNING: Please only use GTR20 with very large data and always test for model fit!
588  GTR20+F+G4    8300.238     244 17088.475    19745.364    17983.926
WARNING: GTR20 model will estimate 189 substitution rates that might be overfitting!
WARNING: Please only use GTR20 with very large data and always test for model fit!
589  GTR20+F+I+G4  8292.515     245 17075.030    19814.576    17974.151
WARNING: GTR20 model will estimate 189 substitution rates that might be overfitting!
WARNING: Please only use GTR20 with very large data and always test for model fit!
590  GTR20+F+R2    8292.917     245 17075.834    19815.380    17974.955
WARNING: GTR20 model will estimate 189 substitution rates that might be overfitting!
WARNING: Please only use GTR20 with very large data and always test for model fit!
591  GTR20+F+R3    8288.546     247 17071.092    19988.044    17977.552
Akaike Information Criterion:           JTT+F+I+G4
Corrected Akaike Information Criterion: JTT+F+I+G4
Bayesian Information Criterion:         JTT+I+G4
Best-fit model: JTT+I+G4 chosen according to BIC

All model information printed to R9AP.doublefiltered.fasta.annot.clean.mafft.trimal.UFB.model.gz
CPU time for ModelFinder: 350.338 seconds (0h:5m:50s)
Wall-clock time for ModelFinder: 86.586 seconds (0h:1m:26s)
Generating 1000 samples for ultrafast bootstrap (seed: 261925)...

NOTE: 4 MB RAM (0 GB) is required!
Estimate model parameters (epsilon = 0.100)
Thoroughly optimizing +I+G parameters from 10 start values...
Init pinv, alpha: 0.000, 2.894 / Estimate: 0.016, 2.882 / LogL: -8444.839
Init pinv, alpha: 0.003, 2.894 / Estimate: 0.017, 2.897 / LogL: -8444.835
Init pinv, alpha: 0.005, 2.894 / Estimate: 0.017, 2.902 / LogL: -8444.834
Init pinv, alpha: 0.008, 2.894 / Estimate: 0.016, 2.896 / LogL: -8444.837
Init pinv, alpha: 0.011, 2.894 / Estimate: 0.017, 2.901 / LogL: -8444.835
Init pinv, alpha: 0.013, 2.894 / Estimate: 0.016, 2.894 / LogL: -8444.839
Init pinv, alpha: 0.016, 2.894 / Estimate: 0.017, 2.902 / LogL: -8444.834
Init pinv, alpha: 0.019, 2.894 / Estimate: 0.017, 2.909 / LogL: -8444.835
Init pinv, alpha: 0.021, 2.894 / Estimate: 0.017, 2.908 / LogL: -8444.834
Init pinv, alpha: 0.024, 2.894 / Estimate: 0.017, 2.908 / LogL: -8444.834
Optimal pinv,alpha: 0.017, 2.908 / LogL: -8444.834

Parameters optimization took 0.206 sec
Computing ML distances based on estimated model parameters... 0.053 sec
Computing BIONJ tree...
0.003 seconds
Log-likelihood of BIONJ tree: -8446.424
--------------------------------------------------------------------
|             INITIALIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Generating 98 parsimony trees... 0.208 second
Computing log-likelihood of 98 initial trees ... 0.306 seconds
Current best score: -8444.834

Do NNI search on 20 best initial trees
Estimate model parameters (epsilon = 0.100)
BETTER TREE FOUND at iteration 1: -8444.834
Iteration 10 / LogL: -8447.140 / Time: 0h:0m:1s
Iteration 20 / LogL: -8444.913 / Time: 0h:0m:1s
Finish initializing candidate tree set (4)
Current best tree score: -8444.834 / CPU time: 1.296
Number of iterations: 20
--------------------------------------------------------------------
|               OPTIMIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Iteration 30 / LogL: -8444.873 / Time: 0h:0m:2s (0h:0m:5s left)
Iteration 40 / LogL: -8453.158 / Time: 0h:0m:2s (0h:0m:4s left)
Iteration 50 / LogL: -8454.364 / Time: 0h:0m:3s (0h:0m:3s left)
Iteration 60 / LogL: -8445.113 / Time: 0h:0m:3s (0h:0m:2s left)
Iteration 70 / LogL: -8445.194 / Time: 0h:0m:4s (0h:0m:2s left)
Iteration 80 / LogL: -8452.846 / Time: 0h:0m:5s (0h:0m:1s left)
Iteration 90 / LogL: -8445.195 / Time: 0h:0m:5s (0h:0m:0s left)
Iteration 100 / LogL: -8446.677 / Time: 0h:0m:6s (0h:0m:0s left)
Refining ufboot trees with NNI 1 branch...
100 samples done
200 samples done
300 samples done
400 samples done
500 samples done
600 samples done
700 samples done
800 samples done
900 samples done
1000 samples done
Total 548 ufboot trees refined
TREE SEARCH COMPLETED AFTER 102 ITERATIONS / Time: 0h:0m:20s

--------------------------------------------------------------------
|                    FINALIZING TREE SEARCH                        |
--------------------------------------------------------------------
Performs final model parameters optimization
Estimate model parameters (epsilon = 0.010)
1. Initial log-likelihood: -8444.834
Optimal log-likelihood: -8444.834
Proportion of invariable sites: 0.017
Gamma shape alpha: 2.908
Parameters optimization took 1 rounds (0.009 sec)
BEST SCORE FOUND : -8444.834

Testing tree branches by SH-like aLRT with 1000 replicates...
Testing tree branches by aBayes parametric test...
0.027 sec.
Creating bootstrap support values...
Split supports printed to NEXUS file R9AP.doublefiltered.fasta.annot.clean.mafft.trimal.UFB.splits.nex
Total tree length: 14.785

Total number of iterations: 102
CPU time used for tree search: 98.027 sec (0h:1m:38s)
Wall-clock time used for tree search: 19.932 sec (0h:0m:19s)
Total CPU time used: 99.748 sec (0h:1m:39s)
Total wall-clock time used: 20.284 sec (0h:0m:20s)
UFBoot trees printed to R9AP.doublefiltered.fasta.annot.clean.mafft.trimal.UFB.ufboot

Computing bootstrap consensus tree...
Reading input file R9AP.doublefiltered.fasta.annot.clean.mafft.trimal.UFB.splits.nex...
19 taxa and 83 splits.
Consensus tree written to R9AP.doublefiltered.fasta.annot.clean.mafft.trimal.UFB.contree
Reading input trees file R9AP.doublefiltered.fasta.annot.clean.mafft.trimal.UFB.contree
Log-likelihood of consensus tree: -8444.834

Analysis results written to: 
  IQ-TREE report:                R9AP.doublefiltered.fasta.annot.clean.mafft.trimal.UFB.iqtree
  Maximum-likelihood tree:       R9AP.doublefiltered.fasta.annot.clean.mafft.trimal.UFB.treefile
  Likelihood distances:          R9AP.doublefiltered.fasta.annot.clean.mafft.trimal.UFB.mldist

Ultrafast bootstrap approximation results written to:
  Split support values:          R9AP.doublefiltered.fasta.annot.clean.mafft.trimal.UFB.splits.nex
  Consensus tree:                R9AP.doublefiltered.fasta.annot.clean.mafft.trimal.UFB.contree
  UFBoot trees:                  R9AP.doublefiltered.fasta.annot.clean.mafft.trimal.UFB.ufboot
  Screen log file:               R9AP.doublefiltered.fasta.annot.clean.mafft.trimal.UFB.log

Date and Time: Fri Apr  9 18:02:08 2021
